estabelecimento_referencia,position,title,rating,reviews,type,thumbnail,latitude,longitude
Cafeteria vanilla caffè,1,Café Marokita,3.9,52,['Cafe'],https://lh5.googleusercontent.com/p/AF1QipOXzyq0CHowFadLMEXoy1yCHJetgaYL5er1ZY87=w156-h156-n-k-no,-23.5501398,-46.6452234
Cafeteria vanilla caffè,2,Bela Vista Café,5.0,1,['Cafe'],http://www.google.com/maps/vt/data=gi2MBXgZkHbQTVPFJLcBWz_mB6kxFVmilbQbJEoh41C_ufpOvf7So55cpkA0TDf_1sPEAPs2xPcZUBdNl9z3djbaF5S6KtkI5UI9EtyLLLHd98-bXcVCJTFcMxvc7b8Zl7DqHmZ7m7wAajkNb3ssZic,-23.5552377,-46.6454079
Cafeteria vanilla caffè,3,VANILLA CAKE e Co.,4.7,103,"['Coffee shop', 'Cake shop', 'Dessert shop']",https://lh5.googleusercontent.com/p/AF1QipOWYEKkMH2QWav1eHSYakK1gl9_VyNoIecMA95I=w156-h156-n-k-no,-23.599311099999998,-46.6347667
Cafeteria vanilla caffè,4,Frutaria e Cafeteria Bela Paim,4.5,311,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipNJ8Um7G7CYDs4Wl0Wl6kNFGLhs7tIVLPanSiju=w156-h156-n-k-no,-23.554712,-46.649858699999996
Cafeteria vanilla caffè,5,Sabelucha Cafeteria,4.5,256,"['Cafeteria', 'Snack bar']",https://lh5.googleusercontent.com/p/AF1QipNennDl28VI1cu-Ypg2ko7Ds5QCVDacS1KGvWiy=w156-h156-n-k-no,-23.55828,-46.6465726
The Coffee,1,Takkø Café - Vila Buarque,4.4,1478,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipMcbH6Cq9QsFVoDja4EHdflZjxZzY4sZGqYe-w6=w156-h156-n-k-no,-23.545541999999998,-46.6495271
The Coffee,2,Café Teatro & Cia.,4.4,214,"['Brazilian', 'Breakfast', 'Buffet', 'Coffee shop', 'Diner', 'Event venue', 'Performing arts theater', 'Restaurant']",https://lh5.googleusercontent.com/p/AF1QipO3QKvW2lRS0OTiTrqTyCh2hgs-QVJPhb7_LI6n=w156-h156-n-k-no,-23.5452075,-46.6486022
The Coffee,3,The Coffee Moema,4.7,251,['Coffee shop'],https://lh5.googleusercontent.com/p/AF1QipPmKW8LqtOowYB-LMHlvqewLgTTaL91sQ5bupps=w156-h156-n-k-no,-23.6113249,-46.6638586
Caffé Ristoro,1,Il Pastaio,4.4,17,['Cafe'],https://lh5.googleusercontent.com/p/AF1QipMM0FT6NbydHWf-loL6kCdRCN23Br-luPNRgrC7=w156-h156-n-k-no,-23.5711062,-46.6451912
Caffé Ristoro,2,Sesc Avenida Paulista,4.8,27889,"['Association or organization', 'Non-profit organization']",https://lh5.googleusercontent.com/p/AF1QipNrQc0Bvnynx1N8ZoTcachVDIcY5DSoKAlzCYnZ=w156-h156-n-k-no,-23.5705226,-46.645618
