title,place_id,dine_in,takeout,delivery,drive_through
Eataly,ChIJ-7uLTERXzpQR8d3dw3KgHlU,True,True,False,False
Coco Bambu,ChIJj4FXBGFRzpQR7LXAktHyo8c,True,True,False,False
Jiquitaia,ChIJCaUFxsxZzpQRQO93YKHQBz0,True,True,False,False
A Figueira Rubaiyat,ChIJ23tjlzNYzpQRtXWnJsu2Fcw,True,True,False,False
Restaurante Amadeus,ChIJKdgB3tJZzpQRPavAu0IR--E,True,True,False,False
Manai Gastronomia,ChIJe6t1Os1ZzpQRs-MxtQ5RziQ,True,True,False,False
Leiteria Ita,ChIJAQO1AlFYzpQRNi25tKZj-As,True,True,False,False
O Gato Que Ri,ChIJ69t2yUVYzpQRoT6Ye8eQC_o,True,True,False,False
Restaurante Expresso São Paulo,ChIJU5UUx1RYzpQRWUs6_yqQFGc,True,True,False,False
Barolo Trattoria Jardins | São Paulo,ChIJATyQmB1ZzpQRgrG-ddlha30,True,True,False,False
Casa da Mortadela,ChIJ717JOFBYzpQR6ylaW_cggBo,True,True,False,False
Restaurante Emiliano,ChIJtyRW09ZZzpQRLt2nWdS_H1o,True,True,True,False
Gero Restaurant,ChIJ3bvo19VZzpQRDgbV9xTNMQI,True,False,False,False
Barskiy Dom - Restaurante Russo,ChIJhayspCtZzpQRysss1ZYGss8,True,True,True,False
Restaurante Bom Gosto,ChIJ8XrTtFVYzpQRDJU8eGeZlOA,True,True,True,False
Bella São Paulo,ChIJaRlcGqtZzpQRnipueKeTtgk,True,True,False,False
Taormina Ristorante Siciliano,ChIJg8lW78VZzpQRUOB-PuB-VpQ,True,True,True,False
Restaurante Recanto dos Sabores,ChIJhTti8cBZzpQRWEGjjpBJKfQ,True,True,False,False
Restaurante Aizomê Japan House,ChIJO_6vhBdZzpQR9h2_WlFZjGs,True,True,False,False
Consulado da Bahia - Pinheiros,ChIJKcc_OnZXzpQRuFATIPXZLTM,True,True,False,False
Restaurante Dare,ChIJxTgZX2dYzpQRuvxRC1Z7Ojg,True,True,False,False
Cantina Mamma Celeste,ChIJF7LxsbZZzpQRM6yZAVVQdaw,True,True,False,False
Kim's Bap Café e Restaurante,ChIJ0bq1lERZzpQRklYezfECWAI,True,True,False,False
Mondo Gastronômico,ChIJ2_80jNpZzpQRSl18QEL4OpY,True,True,False,False
El Mercado Ibérico,ChIJybrdbVZZzpQREIC6U89b0ao,True,True,True,False
Garimpos do Interior,ChIJyyujYHf4zpQRZaGRWU7ZhmY,True,True,False,False
Pratada!,ChIJ1z605XdZzpQR-RnkFqONWrc,True,True,False,False
Casa Rara grill,ChIJtQYSsqxZzpQRNBozG6nHpLY,True,True,False,False
Que Pasa?,ChIJbcNFLs1ZzpQRwiqazMv-bb4,True,True,True,False
Restaurante Armazem Morumbi,ChIJIQcuwPNXzpQRjKZZ6x8rLHo,True,True,False,False
Casa Maricota,ChIJK2e0_ZZZzpQR-2VMPtkTjTU,True,True,False,False
ICI Brasserie,ChIJQwZ1ldVZzpQRZJv1OpYknZg,True,True,False,False
Restaurante Yashiro,ChIJSYUSx6ZXzpQRkHLfqBEAEow,True,True,False,False
Caluma Restaurante,ChIJ047Tiq5XzpQRKaQB2LWYIrs,True,True,False,False
Dalva e Dito,ChIJ5zh94NZZzpQRRKDDOyn6BEY,True,True,False,False
Bar do Mané,ChIJYzoU1PhYzpQRjmYsKF9otzI,True,True,False,False
Casa de Francisca,ChIJ_24wa8FZzpQR2qtTCwBXdcM,True,True,False,False
A Bela Sintra,ChIJgSfl89VZzpQRY5yT9RYJSXE,True,True,False,False
Terraço Jardins,ChIJW2wfydJZzpQRhhJhpOjiVFA,True,True,False,False
Mica,ChIJP-NxwqZXzpQR9P3yA2ffESw,True,True,False,False
Parrilla São Paulo,ChIJs8i4mkVXzpQRefAzo9gc_bo,True,True,True,False
Bosco Restaurante,ChIJx67-3_RXzpQRllVzn0uYXzc,True,True,False,False
Abruzzo Trattoria,ChIJdXzasgZazpQRpNNlEEvxtEY,True,True,False,False
Andiamo - Shopping Cidade São Paulo,ChIJwWg0iMhZzpQRPplLNLkckmY,True,False,False,False
Restaurante Vitta,ChIJtdgv9e1ZzpQRQlEPEQI8Ho4,True,True,False,False
Eco Mercato,ChIJr2T_gk5YzpQRdN72k-XSuYg,True,True,False,False
Nonna Lilla,ChIJ60-iUndezpQRALwR7U30jPE,True,True,False,False
Bovinu'S Fast Grill,ChIJ8W64H1VYzpQR9-MNCeoyoWA,True,True,False,False
ATITHI INDIANO,ChIJE8-97b1ZzpQRVzUb3GVvrLw,True,True,False,False
Pop Vegan Food,ChIJJ3m4CTNYzpQRc2d4v_P7pfY,True,True,False,False
Pizzaria Famiglia Mancini,ChIJa34-aKNZzpQR0-lOxURZxLA,True,True,False,False
Restaurante Yamaga やまが,ChIJp6q6o6hZzpQRvNSOQyRmhnw,True,True,False,False
Flor do Paraíso - Lanchonete e Restaurante,ChIJq8K-mppZzpQRFK99iwMkUjk,True,True,False,False
Finisterre,ChIJG6SgAk5YzpQRNIep0gHPiAk,True,True,False,False
Beneto Restaurante e Lanchonete,ChIJoYOqsVVYzpQRwTeGuTeOOwY,True,True,False,False
Sucos e Lanches PAJÉ,ChIJkT0ot_hYzpQRxG0ur0Cveck,True,True,False,False
Puerta Del Sol,ChIJAeLtYUhYzpQRrtle4xgBtJw,True,True,False,False
Itiriki Restaurante,ChIJK4BgIalZzpQRZOOBPNGLvNA,True,True,False,False
Cora Restaurante,ChIJpb7JJZBZzpQRQrHP-vOYNco,True,False,False,False
Restaurante Fuji,ChIJtw4JpahZzpQRAioJ73Y39Ko,True,True,False,False
Momo Lamen,ChIJn3d6_ahZzpQRbl7Wejik-8E,True,True,False,False
Restaurante Encontro dos Amigos (Casa do Norte),ChIJSazC5pz5zpQR_8dkS63LLKU,True,True,False,False
Enok`s Restaurante & Grill,ChIJ1X6zrcT5zpQRNalIGILnhn0,True,True,False,False
Restaurante Baião de II,ChIJR25fLZn3zpQRd0eSZrqFKyc,True,True,False,False
Bar do Boi - Casa do Norte do Carlinhos,ChIJ9ay5PX33zpQRpI7r2903r9Q,True,True,False,False
Divino Tempero (Comida Caseira),ChIJf2rRGOH3zpQRFm7yK-SF0ac,True,True,False,False
Casa do Norte Rancho do Imirim,ChIJW1TE-IL3zpQRVxWJ8sIbQzY,True,True,True,False
Restaurante Baião De II,ChIJO1ge03z3zpQRQy_r_0oFb_Y,True,True,False,False
Bistro Favela,ChIJTV_jJj_5zpQRnVk1Iw-LuZw,True,True,False,False
Restaurante O Gaúcho,ChIJ6ZBYTiD4zpQR51ImH18LXxw,True,True,False,False
Restaurante - A Familia,ChIJtU0JBMn3zpQROSk2nTk4XFs,True,True,False,False
Nakajyma Sushi Limão,ChIJF5zUT9T5zpQRSSajaXHy2CQ,True,True,False,False
Feijoada abençoada,ChIJhUaFJMz3zpQRivmWT8OyRoM,True,False,False,True
Mano Marmitex,ChIJbaGHWQD3zpQRmIi0ULOx-Q0,True,True,False,False
Kallay Restaurante,ChIJN7NrfCz4zpQRj86K_7EhmHw,True,True,False,False
Biergarten Munique,ChIJYWyKj973zpQRkUgS8WkGhNM,True,True,False,False
Sabor Brasileiríssimo,ChIJFbi5PZf5zpQRal9dfXGK4kM,True,True,False,False
WallStreet restaurante,ChIJZcU7PX33zpQRrunucVUD688,True,True,False,False
