sunday,monday,tuesday,wednesday,thursday,friday,saturday,title
"{'time': '12\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 24}","{'time': '12\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 39}","{'time': '12\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 61}","{'time': '12\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 62}","{'time': '12\u202fPM', 'info': 'Usually as busy as it gets', 'busyness_score': 85}","{'time': '12\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 52}","{'time': '12\u202fPM', 'info': 'Usually not busy', 'busyness_score': 18}",Viareggio Ristorante
"{'time': '1\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 40}","{'time': '1\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 55}","{'time': '1\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 67}","{'time': '1\u202fPM', 'info': 'Usually as busy as it gets', 'busyness_score': 100}","{'time': '1\u202fPM', 'info': 'Usually as busy as it gets', 'busyness_score': 97}","{'time': '1\u202fPM', 'info': 'Usually a little busy', 'busyness_score': 76}","{'time': '1\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 26}",Viareggio Ristorante
"{'time': '2\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 47}","{'time': '2\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 41}","{'time': '2\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 47}","{'time': '2\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 53}","{'time': '2\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 40}","{'time': '2\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 57}","{'time': '2\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 30}",Viareggio Ristorante
"{'time': '3\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 37}","{'time': '3\u202fPM', 'info': 'Usually not busy', 'busyness_score': 16}","{'time': '3\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 21}","{'time': '3\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 19}","{'time': '3\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 16}","{'time': '3\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 25}","{'time': '3\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 26}",Viareggio Ristorante
"{'time': '4\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 21}","{'time': '4\u202fPM', 'info': 'Usually not busy', 'busyness_score': 4}","{'time': '4\u202fPM', 'info': 'Usually not busy', 'busyness_score': 8}","{'time': '4\u202fPM', 'info': 'Usually not busy', 'busyness_score': 15}","{'time': '4\u202fPM', 'info': 'Usually not busy', 'busyness_score': 18}","{'time': '4\u202fPM', 'info': 'Usually not busy', 'busyness_score': 14}","{'time': '4\u202fPM', 'info': 'Usually not busy', 'busyness_score': 18}",Viareggio Ristorante
"{'time': '5\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 9}","{'time': '5\u202fPM', 'info': 'Usually not busy', 'busyness_score': 5}","{'time': '5\u202fPM', 'info': 'Usually not busy', 'busyness_score': 8}","{'time': '5\u202fPM', 'info': 'Usually not busy', 'busyness_score': 14}","{'time': '5\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 23}","{'time': '5\u202fPM', 'info': 'Usually not busy', 'busyness_score': 18}","{'time': '5\u202fPM', 'info': 'Usually not busy', 'busyness_score': 10}",Viareggio Ristorante
"{'time': '6\u202fPM', 'info': 'Usually not busy', 'busyness_score': 8}","{'time': '6\u202fPM', 'info': 'Usually not busy', 'busyness_score': 9}","{'time': '6\u202fPM', 'info': 'Usually not busy', 'busyness_score': 16}","{'time': '6\u202fPM', 'info': 'Usually not busy', 'busyness_score': 16}","{'time': '6\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 27}","{'time': '6\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 26}","{'time': '6\u202fPM', 'info': 'Usually not busy', 'busyness_score': 7}",Viareggio Ristorante
"{'time': '7\u202fPM', 'info': 'Usually not busy', 'busyness_score': 16}","{'time': '7\u202fPM', 'info': 'Usually not busy', 'busyness_score': 13}","{'time': '7\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 24}","{'time': '7\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 23}","{'time': '7\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 28}","{'time': '7\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 32}","{'time': '7\u202fPM', 'info': 'Usually not busy', 'busyness_score': 12}",Viareggio Ristorante
"{'time': '8\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 24}","{'time': '8\u202fPM', 'info': 'Usually not busy', 'busyness_score': 15}","{'time': '8\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 29}","{'time': '8\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 30}","{'time': '8\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 26}","{'time': '8\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 34}","{'time': '8\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 22}",Viareggio Ristorante
"{'time': '9\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 22}","{'time': '9\u202fPM', 'info': 'Usually not busy', 'busyness_score': 14}","{'time': '9\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 27}","{'time': '9\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 31}","{'time': '9\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 22}","{'time': '9\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 30}","{'time': '9\u202fPM', 'info': 'Usually not too busy', 'busyness_score': 26}",Viareggio Ristorante
