title,place_id,sunday,monday,tuesday,wednesday,thursday,friday,saturday
Bar São Paulo Galeteria,ChIJ4-S89ZhPzpQR-9ci1scPCT8,12 PM–12 AM,12 PM–2 AM,12–4 PM,12 PM–12 AM,12 PM–1 AM,12 PM–2 AM,12 PM–3 AM
GALETERIA KEL,ChIJXUJaESc2J5URuZHXqWmOMEM,10:30 AM–3 PM,10:30 AM–3 PM,10:30 AM–3 PM,10:30 AM–3 PM,10:30 AM–3 PM,10:30 AM–3 PM,10:30 AM–3 PM
Dom Piero Galeteria & Pasta,ChIJeTn1qNxJJ5UR-qQR5ggyCa0,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM
Casa de Coimbra Galeteria,ChIJfQFn8Mw3J5URcKbhzhHKtkA,11 AM–4 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,11 AM–4 PM
Galeteria Bella Veneto,ChIJiWyEJse_4pQR74fvoNMidYA,11 AM–2:30 PM,Closed,11:30 AM–1:45 PM,11:30 AM–1:45 PM,11:30 AM–1:45 PM,11:30 AM–1:45 PM,11:30 AM–2 PM
Galeteria Vêneto,ChIJBUJHS8GiHpURv_bB9ocAaN0,11 AM–2 PM,11 AM–2 PM,11 AM–2 PM,11 AM–2 PM,11 AM–2 PM,Closed,11 AM–2 PM
Galeteria Alvorada,ChIJZ15-8MO8HpUR1-9l73k_YQE,11 AM–2 PM,11 AM–2 PM,11 AM–2 PM,11 AM–2 PM,11 AM–2 PM,11 AM–2 PM,11 AM–2 PM
Galeteria Zanotto,ChIJI7R-wjKjHpURfLTlgHP58BI,11 AM–2 PM,Closed,11 AM–2 PM,11 AM–2 PM,11 AM–2 PM,11 AM–2 PM,11 AM–2 PM
Dreher Galeteria O Porão,ChIJh_9vML6X_ZQRiNtFuT1yEyI,,,,,,,
Galeteria Carandá,ChIJdwkJyP7ohpQRd6cFtlCWGbc,7 AM–2 PM,7 AM–2 PM,7 AM–2 PM,7 AM–2 PM,7 AM–2 PM,7 AM–2 PM,7 AM–2 PM
Galeteria Nanoma,ChIJLxTta70tGZUR6F6WBpPhzSI,11:30 AM–3:30 PM,Closed,11:30 AM–2:30 PM,11:30 AM–2:30 PM,11:30 AM–2:30 PM,11:30 AM–2:30 PM,11:30 AM–3:30 PM
Galeteria Nostro Galeto,ChIJC3N9Fet5GZURNdDLlYwFS7I,11:30 AM–3:30 PM,Closed,11:30 AM–2:30 PM,11:30 AM–2:30 PM,11:30 AM–2:30 PM,11:30 AM–2:30 PM,11:30 AM–3 PM
O Casarão Cantina e Galeteria,ChIJOcSdheJSH5URuwulAQJqksE,11:30 AM–3 PM,11:30 AM–3 PM,11:30 AM–3 PM,11:30 AM–3 PM,11:30 AM–3 PM,11:30 AM–3 PM,11:30 AM–3 PM
Galeteria Casa da Dinda,ChIJDyU0xO7bGJURZvsWMG478aY,11:30 AM–3 PM,Closed,11:30 AM–2 PM,11:30 AM–2 PM,11:30 AM–2 PM,11:30 AM–2 PM,11:30 AM–3 PM
Express Churrascaria E Galeteria,ChIJ9x0FtJyQ_pQRWM_xBid6kyQ,Closed,11:15 AM–1:20 PM,11:15 AM–1:20 PM,11:15 AM–1:20 PM,11:15 AM–1:20 PM,11:15 AM–1:20 PM,11:15 AM–1:20 PM
Galeto Di Paolo Boulevard Laçador,ChIJ7xkS_fp5GZURUGvcCcx0DNU,11:30 AM–4 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM
Galeteria Primo Polastro,ChIJfeWZNOt5GZURxllX_ljW0yw,11 AM–3:30 PM,11 AM–2:30 PM,Closed,11 AM–2:30 PM,11 AM–2:30 PM,Closed,11 AM–3 PM
Monte Carlo Galeteria,ChIJCyKIzgBpGZURZvAXE40m6Hc,11:30 AM–2:30 PM,Closed,11:30 AM–2 PM,11:30 AM–2 PM,11:30 AM–2 PM,11:30 AM–2 PM,11:30 AM–2 PM
Galeteria Bambino,ChIJJeDNWvN3GZURMLdNUclFAUU,11 AM–3 PM,11 AM–2:30 PM,11 AM–2:30 PM,11 AM–2:30 PM,11 AM–2:30 PM,11 AM–2:30 PM,11 AM–3 PM
"MERCATTO GALETERIA, PIZZARIA E CERVEJARIA",ChIJgxdBi_ZL2ZQRAX9RhdwBxQg,11 am–8 pm,11 am–2 pm,11 am–2 pm,11 am–2 pm,11 am–2 pm,11 am–2 pm,11 am–2 pm
Crespi's Galeteria,ChIJ-0_wl161w5QRKHPxAndp73E,9 am–5 pm,6 pm–12 am,Closed,6 pm–12 am,6 pm–12 am,6 pm–12 am,9 am–2 am
Galeteria do Paulo,ChIJoyzl481jzpQRkoUcd5KhS3I,9 am–10 pm,Closed,Closed,5–10 pm,5–10 pm,5–10 pm,9 am–10 pm
"Casa Mia Churrascaria, Galeteria e Pizzaria",ChIJ4_m0WJ_HyJQRWyUCd_7EAC0,11:30 am–4 pm,Closed,11:30 am–2:30 pm,11:30 am–2:30 pm,11:30 am–2:30 pm,11:30 am–3:30 pm,11:30 am–3:30 pm
Galeteria MsD,ChIJn_4CIHdlmQARuleFNYd83Ek,,,,,,,
Rei Do Galeto,ChIJM0hGs_pEzpQRXmnKlK-pAmE,8 am–4 pm,Closed,Closed,10 am–7 pm,10 am–11 pm,10 am–11 pm,8 am–11 pm
Le Chef Congelados e Galeteria,ChIJw6CUHndRzpQRjtCuUHg6XhY,9 am–4 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm
Galeteria Ki Frango No 289,ChIJ7V8Gkw4NmQAReNW1TGDtpdU,10 am–4 pm,10 am–4 pm,10 am–4 pm,10 am–4 pm,10 am–4 pm,10 am–4 pm,10 am–4 pm
Galeto Massas & Cia,ChIJiW56AblEzpQRgLmrdX4yWBw,7:45 am–3:30 pm,Closed,9 am–5 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm
Pizzaria e Galeteria D`Praça,ChIJGXTPbYtlmQARnYWXGozdEmY,5 pm–1 am,Closed,5 pm–12:30 am,5 pm–12:30 am,5 pm–12:30 am,5 pm–1 am,5 pm–1 am
O Frango Galeteria,ChIJlTD_hWcElwARvzn3a3wDcBc,,,,,,,
Grill & Galeteria,ChIJUZdI7E3jmwARBS4EzgiKbkE,,,,,,,
Galeteria E Assados Bom Sabor,ChIJa6XwSlBbzpQR5Y8Ki_1ZGRc,8 am–3 pm,Closed,Closed,Closed,Closed,Closed,8 am–3 pm
Babette Galeteria,ChIJGyeaKPNezpQRWp5R72CfY6g,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm
Galeteria Piu Piu,ChIJt-Eg0exgzpQRiH1l1Lv7pkU,10:45 am–2:30 pm,Closed,Closed,Closed,Closed,Closed,10:45 am–2:30 pm
Cantina da Nonna,ChIJ-TV42BB-mQARL3eYgwhvRJc,11:40 am–6 pm,Closed,11:40 am–10 pm,11:40 am–10 pm,11:40 am–10 pm,11:40 am–10 pm,11:40 am–10 pm
192 Pastelaria & Galeteria,ChIJU96n6X95mQARH-hAB_c5Xsw,6 pm–12 am,Closed,5 pm–12 am,5 pm–12 am,5 pm–12 am,5 pm–12 am,5 pm–12 am
O Brazeiro - Morumbi,ChIJITXR9XNRzpQR24PuT37vvKA,11 am–11 pm,11 am–11 pm,11 am–11 pm,11 am–11 pm,11 am–11 pm,11 am–11 pm,11 am–11 pm
Alpinus Choperia e Galeteria,ChIJ8UHH-nQwWpMROZsIKuCpHAM,8 AM–8 PM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM
Galeteria da Nonna,ChIJb98U8A2cEZURif2wsHJ3-Bk,11:40 AM–3 PM,7:30–11 PM,11:40 AM–2:30 PM,11:40 AM–2:30 PM,11:40 AM–2:30 PM,11:40 AM–2:30 PM,11:40 AM–3 PM
Fornalha Galeteria,ChIJnYn52dqFEZURJMWayldvkzk,,,,,,,
Galeteria Di Carlo,ChIJtUCA5REbFgcRvrBhfNkNI50,11 AM–3 PM,Closed,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM
Galeteria Frangal,ChIJh1STEPQaFgcRKlevM7IzdaI,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM
Poleiro Galeteria,ChIJWztHi88EFgcRYsHzpI8VCbc,7 AM–2 PM,7 AM–2 PM,7 AM–2 PM,7 AM–2 PM,7 AM–2 PM,7 AM–2 PM,7 AM–2 PM
Poleiro Galeteria,ChIJXWbEkY4EFgcR0NvjjjVaubk,7 AM–2 PM,7 AM–7 PM,7 AM–7 PM,7 AM–7 PM,7 AM–7 PM,7 AM–7 PM,7 AM–7 PM
Galeteria X,ChIJ80PhGy4FFgcRmOh5vEgcUqw,9 AM–4 PM,Closed,9 AM–4 PM,9 AM–4 PM,9 AM–4 PM,9 AM–4 PM,9 AM–4 PM
Galeteria Coyote,ChIJp4vcd22xGgcR5IGERZiQ67A,9 AM–2 PM,Closed,9 AM–2 PM,9 AM–2 PM,9 AM–2 PM,9 AM–2 PM,9 AM–2 PM
Galeteria Santa Rita,ChIJ36QioIVFAQcRFoba8CMfnhU,Closed,6 AM–4 PM,6 AM–4 PM,6 AM–4 PM,6 AM–4 PM,6 AM–4 PM,6 AM–4 PM
Galeteria São Luiz,ChIJYSEA3oJPAQcRsNi5L4OHJPM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM
Galeteria Brasão,ChIJ41UqObBFAQcRPmyFtRLOzVY,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM
Empório Galeteria - Galeteria em Maceió/AL,ChIJqy5OPGtFAQcRR6Ljtsg11WY,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM
Galeteria Alvorada,ChIJh0-Z3-YYqwcRd84nncOxH7I,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM
Galeteria Ki-galeto,ChIJcYDWretFAQcRtzwbuPYWJZg,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM
Galeteria São Paulo,ChIJG4wc-ldIAQcRfV8qt4__BUs,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM
Frango & Cia Galeteria,ChIJv7rJ5PLVBQcRDSuAAO35Bw8,10 AM–3 PM,Closed,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM,10 AM–3 PM
FB GALETERIA,ChIJnVhIZjxFAQcRyM50GRUgLJ8,9 AM–4 PM,9 AM–4 PM,9 AM–4 PM,9 AM–4 PM,9 AM–4 PM,9 AM–4 PM,9 AM–4 PM
Galeteria Esquina Bom Galeto,ChIJN0xRPx9KxwcRDKfS3lsk6G0,9 AM–4 PM,9 AM–3 PM,9 AM–3 PM,9 AM–3 PM,9 AM–3 PM,9 AM–3 PM,9 AM–10 PM
Galeteria Lara,ChIJJ2Y-F-lNxwcRK4osm-6NilQ,8:30 AM–3 PM,8:30 AM–2:30 PM,8:30 AM–2:30 PM,8:30 AM–2:30 PM,8:30 AM–2:30 PM,8:30 AM–2:45 PM,8:30 AM–2:45 PM
Galeto 183,ChIJYQLaRW1_mQARsy2U4Msp7nE,Closed,6 AM–5 PM,6 AM–5 PM,6 AM–5 PM,6 AM–5 PM,6 AM–5 PM,6 AM–5 PM
Galeto Central,ChIJGQWqgGB_mQARGUUkdihRur8,Closed,11 AM–8 PM,11 AM–8 PM,11 AM–8 PM,11 AM–8 PM,11 AM–8 PM,11 AM–2 PM
Galeto Tabuleiro,ChIJWWXQim1_mQAR9-QlCvIJRyA,11 AM–12 AM,11 AM–3 PM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM
Galeto Do Anil,ChIJk6lkzsXZmwARmOUbsAN80e8,10 AM–8 PM,7 AM–10 PM,7 AM–10 PM,7 AM–10 PM,7 AM–10 PM,7 AM–10 PM,7 AM–10 PM
Galeto Sat's,ChIJKS3qov9_mQARIOHo8Du0qyQ,12 PM–4 AM,12 PM–4 AM,12 PM–4 AM,12 PM–4 AM,12 PM–5 AM,12 PM–5 AM,12 PM–5 AM
Galeto Lousã,ChIJd9w85FFYzpQR5vX7sFccMCU,Closed,11:30 AM–3:30 PM,11:30 AM–3:30 PM,11:30 AM–3:30 PM,11:30 AM–3:30 PM,11:30 AM–3:30 PM,Closed
O Bom Galeto,ChIJnYf8MoF_mQARXL_NDa885Q8,11 AM–9 PM,11 AM–9 PM,11 AM–9 PM,11 AM–9 PM,11 AM–10 PM,11 AM–11 PM,11 AM–11 PM
GALETO SENADOR,ChIJKQAygWF_mQARZfQ6kBJ6Igo,Closed,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,Closed
Galeto & Cia.,ChIJfdWawlDVmwAR1z7bxR_Bif0,11:30 AM–8:50 PM,11:30 AM–10 PM,11:30 AM–10 PM,12–11 PM,12–11 PM,12–11 PM,12–11 PM
Galeto do Leblon,ChIJrTcqVbPVmwARQPlYC-FicXs,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–1 AM,11 AM–1 AM
Restaurante Baby Galeto,ChIJQc1CUmN_mQAR8CiDUEalsHk,11:30 AM–1 AM,11:30 AM–1 AM,11:30 AM–1 AM,11:30 AM–1 AM,11:30 AM–1 AM,11:30 AM–4 AM,11:30 AM–4 AM
Crack dos Galetos,ChIJK8YAAACAmQAReqYpQuBN1Y0,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM
Viva Flor Galeto,ChIJgyzYuFDVmwARqL0AoxC9dfc,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM
Galeto do Recreio,ChIJxbgk6qjCmwARwBI3rlH1DgM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–2 AM,11 AM–2 AM
Brasas Show Galeteria,ChIJwQJkF5J-mQAROSiuG9kwEB0,11 AM–5 PM,11 AM–5 PM,11 AM–5 PM,11 AM–5 PM,11 AM–5 PM,11 AM–7 PM,11 AM–7 PM
Restaurante Galeto Do Raimundo,ChIJHTxoYbcElwARZxgVxc-3u7E,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM
Galeteria Artesano,ChIJhw2WCSJbzpQRyRdMuQKbKsc,Closed,11:30 AM–3 PM,11:30 AM–3 PM,11:30 AM–3 PM,11:30 AM–3 PM,11:30 AM–3 PM,Closed
Galeto Sabiá Braseiro,ChIJj93342p-mQARhLThPCFnxKo,11 AM–10 PM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM,11 AM–12 AM
Restaurante Galeto Divino,ChIJuxJzSAd_mQARrHHh8RJxCc8,Closed,7 AM–5 PM,7 AM–5 PM,7 AM–5 PM,7 AM–5 PM,7 AM–5 PM,Closed
Restaurante Bom Galeto,ChIJf2f-I9jnmwARDoqOEeFZfTU,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM
Galeto Di Paolo (Itapema),ChIJx7FDgOCw2JQRreh71uhAVmg,11:30 AM–3:30 PM,Closed,11:30 AM–3 PM,11:30 AM–3 PM,11:30 AM–3 PM,11:30 AM–3 PM,11:30 AM–3:30 PM
Galeto de Ouro,ChIJi3qW581MmAAR_anuqXauySM,11 AM–3:30 PM,11 AM–3:30 PM,11 AM–3:30 PM,11 AM–3:30 PM,11 AM–3:30 PM,11 AM–3:30 PM,11 AM–3:30 PM
Gaudériu's Galeteria e Hamburgueria em Curitiba | Frango Frito em Curitiba | Galeteria em Curitiba,ChIJcaV2ognl3JQRpgIR2vwolwM,11 AM–3 PM,11 AM–2:15 PM,11 AM–2:15 PM,11 AM–2:15 PM,11 AM–2:15 PM,11 AM–2:15 PM,11 AM–2:15 PM
Galeto Sat's Botafogo,ChIJnz2u8eB_mQARNtuqR8LtMWY,11:30 AM–5 AM,11:30 AM–5 AM,11:30 AM–5 AM,11:30 AM–5 AM,11:30 AM–5 AM,11:30 AM–5 AM,11:30 AM–5 AM
Galeto Rainha,ChIJ_WOsdKTVmwARxgWXoT8OFIU,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–1 AM,11:30 AM–1 AM,11:30 AM–1 AM
Galeto Rio Sol,ChIJe2jQY1fhmwAR3xxgrrwuMQY,Closed,8 AM–4 PM,8 AM–4 PM,8 AM–4 PM,8 AM–4 PM,8 AM–4 PM,Closed
Di Paolo - Vila Olímpia,ChIJB50xmK1QzpQR5eJy2mW0E7I,12–10 PM,12–3:30 PM,12–3:30 PM,12–3:30 PM,12–3:30 PM,12–3:30 PM,12–11:30 PM
De Primeira Re'staurante e Galeteria,ChIJjZvWn1BhmQARKcrLM4-JeOY,Closed,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM
O Galeto Grill,ChIJDy7JVuKDmQAROPOIDVrl-hA,11:30 AM–8 PM,11:30 AM–8 PM,11:30 AM–8 PM,11:30 AM–8 PM,11:30 AM–8 PM,11:30 AM–8 PM,11:30 AM–8 PM
Galeto & Picanha,ChIJvVLm8_qDmQARNJkC9AhIzzs,11 AM–1 AM,11 AM–10 PM,11 AM–1 AM,11 AM–1 AM,11 AM–1 AM,11 AM–1 AM,11 AM–1 AM
Rancho De Minas Galeteria,ChIJlx1ARJdglwARk7v8FSIuz6o,9:30 AM–5 PM,9:30 AM–5 PM,9:30 AM–5 PM,9:30 AM–5 PM,9:30 AM–5 PM,9:30 AM–5 PM,9:30 AM–5 PM
Galeto Espetinho & Cia,ChIJL0Gi_OtnmQARmkejFN1hDlo,10 AM–5 PM,Closed,5–10 PM,5–10 PM,5–10 PM,5–10 PM,10 AM–10 PM
Castelo dos Reis Restaurante E Galeteria,ChIJTR9wbU2NmQARl0bNoJX6WJM,11 AM–4 PM,11 AM–3:30 PM,11 AM–3:30 PM,11 AM–3:30 PM,11 AM–3:30 PM,11 AM–3:30 PM,11 AM–3:30 PM
Galeto de Itaipava,ChIJ79OB3QKrmQARQgn9tTGQS4s,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM
Bom na Brasa,ChIJjxVCmwF8mQARNsMlay0G22Y,11 AM–4 PM,11 AM–7 PM,11 AM–7 PM,11 AM–7 PM,11 AM–7 PM,11 AM–7 PM,11 AM–4 PM
Brazinha de Ipanema / Brazin Bar,ChIJ0df5xhfVmwARratwGcvsOj0,10 AM–1 AM,10 AM–1 AM,10 AM–1 AM,10 AM–1 AM,10 AM–1 AM,10 AM–1 AM,10 AM–1 AM
Galeto da Mamma,ChIJq6qqaso3J5URJElT2KW0a_A,11:30 AM–3 PM,Closed,11:30 AM–2 PM,11:30 AM–2 PM,11:30 AM–2 PM,11:30 AM–2 PM,11:30 AM–3 PM
"La Palma Restaurante, Pizzaria e Cervejaria",ChIJxY05Jm-QpgARSNd5AXpfDSs,11:30 AM–6 PM,5–11 PM,11:30 AM–12 AM,11:30 AM–12 AM,11:30 AM–12 AM,11:30 AM–12 AM,11:30 AM–12 AM
Galeto de Gala,ChIJQcuAcO4XuAARshzgIIdic40,10:30 AM–3 PM,11 AM–10:50 PM,11 AM–10:50 PM,11 AM–10:50 PM,11 AM–10:50 PM,11 AM–10:50 PM,10:30 AM–3 PM
Galeto Di Paolo (Lourdes),ChIJfYGOSMS8HpURzJuAP9_7q3U,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM
Galeto Di Bréscia,ChIJEZSO65V5GZURx7qWm2gACp8,11 AM–2:30 PM,11 AM–2 PM,11 AM–2 PM,11 AM–2 PM,11 AM–2 PM,11 AM–2 PM,11 AM–2:30 PM
Galeto Di Paolo (Gramado),ChIJO3dgnEMyGZURqIdCXVkp5ls,11:30 am–4 pm,11:30 am–3 pm,11:30 am–10 pm,11:30 am–10 pm,11:30 am–10 pm,11:30 am–10 pm,11:30 am–10 pm
Galeteria e Pizzaria Cristófoli,ChIJsePUgLt5GZURlfWJwIZI2Cw,12–3 pm,Closed,6–11:30 pm,6–11:30 pm,6–11:30 pm,6–11:30 pm,6–11:30 pm
CATTEDRALE GALETERIA,ChIJ06Njbk4tGZURjqE0XNg8K8o,11:30 am–4 pm,11:30 am–3:30 pm,11:30 am–3:30 pm,11:30 am–3:30 pm,11:30 am–3:30 pm,11:30 am–4 pm,11:30 am–4 pm
Galeto Mamma Mia - Praia de Belas,ChIJOdiDifp4GZURML6hfxUTv8A,11:30 am–4 pm,11:30 am–3 pm,11:30 am–3 pm,11:30 am–3 pm,11:30 am–3 pm,11:30 am–3 pm,11:30 am–4 pm
Galeto Mamma Mia - Moinhos Shopping,ChIJrTl6xrd5GZURenSamoYmjhU,10 am–10 pm,10 am–10 pm,10 am–10 pm,10 am–10 pm,10 am–10 pm,10 am–10 pm,10 am–10 pm
Churrascaria & Galeteria Sao Luiz,ChIJtQG8SUB4GZUR5xG-ShiTLf4,8 am–3 pm,8 am–3 pm,8 am–3 pm,8 am–3 pm,8 am–3 pm,8 am–3 pm,8 am–3 pm
Galeteria Toscana,ChIJdcLsIVpuGZURZOG8lNuDPzM,11:30 am–3 pm,11:30 am–2:30 pm,11:30 am–2:30 pm,11:30 am–2:30 pm,11:30 am–2:30 pm,11:30 am–2:30 pm,11:30 am–2:30 pm
Casa do Marquês,ChIJPXTm1dB5GZURRO0lFONpZv4,11:30 am–4 pm,11 am–2:30 pm,11 am–2:30 pm,11 am–2:30 pm,11 am–2:30 pm,11 am–2:30 pm,11 am–3 pm
"Churrascaria, Galeteria e Pizzaria Primavera",ChIJtZC5jANDGZURupUohSHbix0,11 am–3:30 pm,Closed,11 am–2:30 pm,11 am–2:30 pm,11 am–2:30 pm,11 am–2:30 pm,11 am–3 pm
Mr do Galeto,ChIJc3dEvoKzHpURiHzjTnAFHQc,11:30 am–3 pm,Closed,11:30 am–3 pm,11:30 am–3 pm,11:30 am–3 pm,11:30 am–3 pm,11:30 am–3 pm
Galeteria Beira Lago,ChIJ9fMFf9IlWpMRRrJaP_W2mCA,11:30 am–5 pm,11:30 am–4 pm,11:30 am–4 pm,11:30 am–4 pm,11:30 am–4 pm,11:30 am–4 pm,11:30 am–5 pm
Galeteria Serrana,ChIJuX4BgNE6WpMR7WkLhnKDgbA,11 am–4 pm,11 am–3 pm,11 am–3 pm,11 am–3 pm,11 am–3 pm,11 am–3 pm,11 am–4 pm
Piatto Bello Cucina Italiana,ChIJe1VedudkGZURuraykXGtoME,11:15 am–3 pm,Closed,Closed,7–10:30 pm,7–10:30 pm,7–11 pm,11:15 am–2:30 pm
Restaurante Frangão,ChIJgwLJOe9CIZURSat4L2B0Zu4,Closed,11 am–2 pm,11 am–2 pm,11 am–2 pm,11 am–2 pm,11 am–2 pm,11 am–2 pm
Galeteria Serrana - Asa Norte,ChIJs0GIRNM5WpMRqLbI74A0D1o,11 am–4 pm,11 am–3 pm,11 am–3 pm,11 am–3 pm,11 am–3 pm,11 am–3 pm,11 am–4 pm
Treviso Galeteria,ChIJB92AYis6WpMReQARVu5IRyI,11:20 am–5 pm,11:30 am–12 am,12 am–4 pm,11:20 am–4 pm,11:20 am–4 pm,11:20 am–4 pm,11:20 am–4 pm
galeteria Frangolito,ChIJySuO3_lFzpQRRjQnafgRm7g,9 AM–11 PM,Closed,9 AM–11 PM,9 AM–11 PM,9 AM–11 PM,9 AM–11 PM,9 AM–11 PM
Galeto's Consolação,ChIJsYBng2tZzpQR2lg3V7_CuSk,11 AM–10 PM,11 AM–10:30 PM,11 AM–10:30 PM,11 AM–10:30 PM,11 AM–10:30 PM,11 AM–10:30 PM,11 AM–10:30 PM
Galeteria M M,ChIJoYEuCMRgzpQRi99-zdKwq-g,8 AM–5 PM,Closed,Closed,Closed,Closed,Closed,8 AM–5 PM
O Brazeiro,ChIJhR2ryDVazpQRzNksnLcqagA,9 AM–12 AM,9 AM–12 AM,9 AM–12 AM,9 AM–12 AM,9 AM–12 AM,9 AM–12 AM,9 AM–12 AM
Galeteria e Pastelaria,ChIJ8xPhPNFgzpQRgoDxbakX94w,10 AM–4 PM,Closed,Closed,Closed,Closed,Closed,11 AM–5 PM
Galeteria Piccolo Polastro Eireli,ChIJmWtE9cBZzpQRD312DcWcAQw,,,,,,,
Jaú Galeteria - Matriz,ChIJ9xqN0OBFzpQRz3GmaNT4yFE,8 AM–4 PM,Closed,8 AM–7 PM,8 AM–7 PM,8 AM–7 PM,8 AM–7 PM,8 AM–7 PM
A Galeta Dourada,ChIJGQf7ZuhbzpQRhGegU-BKKXM,11 AM–9 PM,11 AM–9 PM,11 AM–9 PM,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM
Galeteria Monte Grill,ChIJ33Vi6UdazpQRTWu9cgsvflw,11 AM–10 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM
Casa Maia STK | Brazá Galeteria | Dom Parmégi | Baião Tropeiro,ChIJ_T_5IcFbzpQRkm9ehKBSXU8,10:30 AM–4 PM,10:30 AM–4 PM,10:30 AM–4 PM,10:30 AM–4 PM,10:30 AM–4 PM,10:30 AM–4 PM,10:30 AM–6 PM
Jau Galeteria - Unidade Marari,ChIJfxbVIr9bzpQRKlhB02nDbbo,9 AM–8 PM,Closed,Closed,11 AM–8 PM,11 AM–8 PM,11 AM–8 PM,9 AM–8 PM
GALETERIA CALIXTO,ChIJySNRVVVEzpQRDx1-rgdZ6NE,,,,,,,
Galeteria Real Park,ChIJVTL5s-pXzpQR0dobPucqmag,10 AM–5 PM,Closed,Closed,Closed,Closed,10 AM–5 PM,10 AM–5 PM
Di Paolo - Pinheiros,ChIJA3Z4PaxXzpQRN6w03QzMP_8,12–10 PM,12–3:30 PM,12–3:30 PM,12–3:30 PM,12–3:30 PM,12–3:30 PM,12–11:30 PM
Galeteria Arte e Sabor,ChIJ87rPgEs2zpQRfjeSJktGYU8,6 AM–10 PM,6 AM–10 PM,6 AM–10 PM,6 AM–10 PM,6 AM–10 PM,6 AM–10 PM,6 AM–10 PM
Galeto na Brasa Churrascaria e Pizzaria,ChIJUVFWAxJdzpQRJ-4LjxrnBkQ,11 AM–11 PM,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,11 AM–4 PM,11 AM–11:30 PM,11 AM–12 AM
Galinheiro Grill,ChIJJ0w6Y5hXzpQRemwhiZ39ngg,12–10 PM,12 PM–12 AM,12 PM–12 AM,12 PM–12 AM,12 PM–1 AM,12 PM–1 AM,12 PM–1 AM
