title,place_id,sunday,monday,tuesday,wednesday,thursday,friday,saturday
Fantasmagória Bar,ChIJOYsqcdxXzpQRNzpiycup0So,4–10 PM,Closed,6 PM–12 AM,6 PM–12 AM,6 PM–12 AM,6 PM–12 AM,6 PM–12 AM
Indócil Bar,ChIJjdIst6JXzpQR-P7uAn7dVrM,3–10 PM,Closed,Closed,5–11:30 PM,5–11:30 PM,5 PM–12 AM,3 PM–12 AM
Esquinão Bar e Restaurante,ChIJi4gfcxpXzpQRD82GXwerPOA,,,,,,,
Bar do Ari,ChIJvTOUgblXzpQRgVsLNfJOJmk,10 AM–6 PM,7 AM–10 PM,7 AM–12 AM,7 AM–12 AM,7 AM–12 AM,7 AM–12 AM,8 AM–8 PM
Ziriguidum Bar,ChIJwc9Vx-NXzpQR9zDssRuDvzs,3 PM–1 AM,Closed,Closed,4 PM–12 AM,4 PM–1 AM,4 PM–2 AM,3 PM–2 AM
Mada Lounge Bar,ChIJXzw5gJhXzpQRXPqkOa8ehzQ,4 PM–1 AM,4 PM–1 AM,4 PM–1 AM,4 PM–1 AM,4 PM–4 AM,4 PM–4 AM,4 PM–4 AM
Free Lance American Bar,ChIJq04Cg6FXzpQRdQvyLWcH9NU,11 AM–7 AM,11 AM–7 AM,11 AM–7 AM,11 AM–7 AM,11 AM–12 AM,Open 24 hours,Open 24 hours
Colchetes Café,ChIJwdsbtldXzpQRPy422_22WAQ,12–8 PM,Closed,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11:30 PM,11:30 AM–1:30 AM,11:30 AM–1:30 AM
Mawé,ChIJXSIAp89XzpQRYut7up5hwPo,Closed,Closed,Closed,6–11 PM,6 PM–4 AM,6 PM–4 AM,4 PM–4 AM
Baixo Largo Bar,ChIJxxgy-DJXzpQRlgJBGfSPUJY,,,,,,,
Desordem Bar e Coworking,ChIJhQRxl6JXzpQRwPGefTaFrEc,3–11 PM,Closed,Closed,6 PM–1 AM,6 PM–1 AM,6 PM–1:30 AM,6 PM–1:30 AM
A Ventana,ChIJh19HyuBXzpQRguIB8JhY6yA,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–12 AM
Lá Em Casa - The Bar,ChIJgw-pmaJXzpQRCTtGW1GtAP0,,,,,,,
Bar Sao paulo,ChIJsXB_BsBXzpQRuEjWlTIXbi0,,,,,,,
Baixo Pinheiros Lounge,ChIJp0G5DApXzpQRb3NN7O-HaN8,Closed,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,Closed
Burger da Rua,ChIJ03baoPRbzpQRZbSdghMAVN4,11 AM–12 AM,5–11:30 PM,11 AM–11:30 PM,11 AM–11:30 PM,11 AM–11:30 PM,11 AM–12 AM,11 AM–12 AM
Sliders - Unidade Vila Olímpia,ChIJB7o8B11XzpQRguZMzV4I8lc,6–11 PM,Closed,11:30 AM–3:30 PM,11:30 AM–3:30 PM,11:30 AM–3:30 PM,11:30 AM–3:30 PM,11:30 AM–3:30 PM
Chef Rocks Hamburgueria,ChIJFUxoOt9ZzpQRZ33Beto2gL4,6:30–10:30 PM,Closed,6:30–8:30 PM,6:30–10:30 PM,6:30–10:30 PM,6:30–10:30 PM,6:30–10:30 PM
Chok Burger,ChIJCx2gadBXzpQR5V7K1TmkrzU,4–11 PM,4–11 PM,4–11 PM,4–11 PM,4–11 PM,4–11 PM,4–11 PM
Stunt Burger,ChIJmd1IcuVWzpQRL37hsklLIbo,12–11:30 PM,12–11:30 PM,12–11:30 PM,12–11:30 PM,12–11:30 PM,12 PM–12:30 AM,12 PM–12:30 AM
The Bear Burger,ChIJkyW2PuVXzpQR5n4l9mbhKXU,12–10:30 PM,Closed,6–11:01 PM,6–11:01 PM,6–11:01 PM,6 PM–12 AM,12 PM–12 AM
Hamburgueria no Rio de Janeiro - Só Ouro,ChIJxYwPmNdZzpQR94LEILf9V1c,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
Tradi Hamburgers,ChIJf7GVI_9ZzpQRCqZbewaHJE8,12–10:30 PM,12–3 PM,12–3 PM,12–3 PM,12–3 PM,12–3 PM,12–10:30 PM
DomBurger - Hamburgueria,ChIJ6WkfD8VVzpQRHA8RptFP5Hs,6 PM–12 AM,6 PM–12 AM,6 PM–12 AM,6 PM–12 AM,6 PM–12 AM,6 PM–1 AM,6 PM–1 AM
Underground Hamburgers,ChIJa47UIzJazpQR1_Osj1lot7Y,4–11 PM,12–11 PM,12–11 PM,12–11 PM,12–11 PM,12–11 PM,12–11 PM
Hamburgueria SP,ChIJs9NWH65bzpQRGwlHfRVDIiE,Closed,12–2:30 PM,12–2:30 PM,12–2:30 PM,12–2:30 PM,12–2:30 PM,5–11 PM
Strong Burguer & Sorveteria,ChIJ_WbQ_h74zpQRkaAWUTooRAk,5–11:30 PM,Closed,11:30 AM–10:30 PM,11:30 AM–10:30 PM,11:30 AM–10:30 PM,11:30 AM–11:30 PM,11:30 AM–11:30 PM
Davis Burgers,ChIJF9GkfBf5zpQRbJLihVYeY8w,7–11 PM,7–10:30 PM,7–10:30 PM,12–10:30 PM,12–10:30 PM,12–11 PM,12–11 PM
Foodie Burger - Hamburgueria Artesanal na Moóca,ChIJCWlltShfzpQR0T75f8KfwRM,6–10 PM,Closed,12–10 PM,12–10 PM,12–10 PM,12–11 PM,12–11 PM
Burger 700,ChIJNT8LI_dXzpQRetOqXXrrXmQ,12 PM–1 AM,12 PM–1 AM,12 PM–1 AM,12 PM–1 AM,12 PM–1 AM,12 PM–1 AM,12 PM–1 AM
"4 Eat Burger Bar -Restaurante , Hamburgueria e Bar -Pinheiros",ChIJi1gGwqZXzpQRh4odF6YJP-g,12–10 PM,12–10 PM,12–10 PM,12–10 PM,12–10 PM,12–10 PM,12–10 PM
LE Burger Jardins,ChIJvY56tehZzpQR_g9qb0_Vd9M,12–11 PM,Closed,12–11 PM,12–11 PM,12–11 PM,12–11 PM,12–11 PM
Jamp Burger - Hamburgueria Artesanal Vila Madalena,ChIJT__-hKJXzpQR3N7PRKIUKOY,3–11 PM,5–11 PM,5–11 PM,5–11 PM,3 PM–12 AM,3 PM–4 AM,6 PM–4 AM
Hamburgueria,ChIJ7a4ZzjNdzpQRQoO3F_jsUog,6–11 PM,Closed,6–11 PM,6–11 PM,6–11 PM,6–11 PM,6–11 PM
12 Burger and Beer,ChIJrzhi3KJXzpQRN7Bd-34uDHo,1–9 PM,Closed,Closed,12–9 PM,12–9 PM,12–11 PM,12–11 PM
Joakin's Hamburguer,ChIJsVs5B8JQzpQRkcHxLylPpDw,11 AM–2 AM,11 AM–3 AM,11 AM–3 AM,11 AM–3 AM,11 AM–3 AM,11 AM–5 AM,11 AM–5 AM
Hamburgueria Artesanal,ChIJBQSMqlJZzpQRwAAXeRzg2RI,3–11 PM,Closed,Closed,3–11 PM,3–11 PM,3–11 PM,3–11 PM
Bendito Rock Burger,ChIJ2Zz7uWn_zpQR9ezzDZ0_kEk,6–9:45 PM,Closed,6–10:30 PM,6–10:30 PM,6–10:30 PM,6–11 PM,6–11 PM
Classic Burger Haus,ChIJq0jbw11XzpQR8p93Yk-KCqQ,11:30 AM–12 AM,5–11 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM,11 AM–3 PM
Between Buns,ChIJk81xDV1XzpQR4bYQ_SZSCaU,12–10 PM,12–3 PM,12–3 PM,12–3 PM,12–3 PM,12–3 PM,12–11 PM
Menca Burger,ChIJBwFh6a9ezpQRTvgHoc2ae_o,5–11 PM,Closed,5–11 PM,5–11 PM,5–11 PM,12–11 PM,12–11 PM
Depot4 Ipiranga,ChIJ7QfTZe9bzpQRuPxlC2XkTzk,12–11 PM,Closed,6–11 PM,6–11 PM,6–11 PM,12–11 PM,12–11 PM
Snack Point Burger,ChIJOaUzcNRXzpQRIA_37KHV9zA,12–11 PM,6–11 PM,12–3 PM,12–3 PM,12–3 PM,12–3 PM,12–11 PM
Quintal Burguer,ChIJm-uD9r74zpQRT_lAvIaZmCc,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM
BlackRock Burger & Beer,ChIJAcnndBf1zpQRSNZdKcwNPvU,12–11:30 PM,12–11:30 PM,12–11:30 PM,12–11:30 PM,12–11:30 PM,12 PM–12:30 AM,12 PM–12:30 AM
Hambúrgueria,ChIJc1TQGWFpzpQRBSibQIJj7ro,5–10 PM,Closed,Closed,Closed,Closed,5–10 PM,5–10 PM
The Black Beef - Shopping Vila Olimpia,ChIJHcdSrF9XzpQRA-RhD0jcpSA,12–10 PM,12–10 PM,12–10 PM,12–10 PM,12–10 PM,12–10 PM,12–10 PM
Viseu Burger Tatuapé,ChIJpb3WUwtfzpQRTpdYxAfer10,12–11 PM,12–11 PM,12–11 PM,12–11 PM,12–11 PM,12 PM–12 AM,12 PM–12 AM
Doca Sanduicheria,ChIJx_pB0ONXzpQRuA0Eg07uNao,Closed,12–4 PM,12–4 PM,12–9:45 PM,12–9:45 PM,12–9:45 PM,5:45–9:45 PM
Hamburgueria,ChIJv9VEZIxTzpQRVYTyqP4-Vpg,Closed,6 PM–12 AM,6 PM–12 AM,6 PM–12 AM,6 PM–12 AM,6 PM–12 AM,6 PM–12 AM
Le Sandwich,ChIJi5VchVRXzpQRdoAalYOYkxE,11:30 AM–9 PM,8 AM–10:30 PM,8 AM–10:30 PM,8 AM–10:30 PM,8 AM–10:30 PM,8 AM–10:30 PM,9 AM–10:30 PM
Hamburgueria Burger For You,ChIJP4Vh5-xCzpQRa9FRiPRK0_g,12–11 PM,6–11 PM,6–11 PM,6–11 PM,12–3 PM,12–3 PM,12 PM–12 AM
Dilicia da Nona,ChIJZfKjDmf_zpQRbrMAYeADH8A,5 PM–12 AM,5–11 PM,5–11 PM,5–11 PM,5–11 PM,5 PM–12 AM,5 PM–12 AM
Pizzaria e Lanchonete Real,ChIJwc8wJu1XzpQRnVGJ6sQkNg4,7 AM–12 AM,7 AM–12 AM,7 AM–12 AM,7 AM–12 AM,7 AM–12 AM,7 AM–2 AM,7 AM–2 AM
A Hamburgueria,ChIJg6uqfrgBz5QRt1R1asTxvbc,6–11 PM,12–11 PM,12–11 PM,12–11 PM,12–11 PM,12 PM–12 AM,12 PM–12 AM
Manhattan Beer n' Burger,ChIJQQS8ywUDz5QRwwcTL1Nt1Ok,5–11 PM,Closed,5–11 PM,5–11 PM,5–11 PM,5–11 PM,5–11 PM
Classic Burger,ChIJ37RyYe5bzpQRvD8cPVJIVCA,12–3 PM,Closed,12–3 PM,12–3 PM,12–3 PM,12–3 PM,12–4 PM
Reino Johnny Hudson,ChIJ47SWY1b1zpQR4DPbtqniZEw,,,,,,,
Burger Table,ChIJ0UtAE51QzpQRy4_zJD2rBL4,12–5 PM,Closed,6–10:30 PM,6–10:30 PM,6–10:30 PM,6–10:30 PM,12–5 PM
Posto do Açai,ChIJZSuIkJpZzpQRXt52_NDf1yc,7 AM–12 AM,7 AM–2 AM,7 AM–2 AM,7 AM–4 AM,7 AM–4 AM,7 AM–4 AM,7 AM–4 AM
Mandú Esfihas & Burguers,ChIJAQBUbjlCzpQRr13DISqJ0kY,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM,11 AM–11 PM
Dags,ChIJVVWJorIDzpQR23QtvKAFvhI,10 AM–11:30 PM,10 AM–11:30 PM,10 AM–11:30 PM,10 AM–11:30 PM,10 AM–11:30 PM,10 AM–11:30 PM,10 AM–11:30 PM
Hot e Tasty - Burguer e Baguette,ChIJ5YD7_PAnz5QRqaq-eKCnnN8,5–10:30 PM,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM,11 AM–10 PM,5–10:30 PM,5–10:30 PM
Spot JK,ChIJPVfwVUdXzpQRV2P3Sq5e428,12–10 PM,12–3 PM,12–3 PM,12–3 PM,12–3 PM,12–3 PM,12–11 PM
Florinda Café e Cozinha,ChIJ7ScweJdXzpQRlRP57pL6yg8,12–8 PM,12–5 PM,12–5 PM,12 PM–12 AM,12 PM–12 AM,12 PM–12 AM,12 PM–12 AM
Spock Burger,ChIJcUk07TnYzZQRv4do19R_DbM,6 PM–3 AM,12–11 PM,12–11 PM,12–11 PM,12–11 PM,12 PM–5 AM,12 PM–5 AM
One Way Burger,ChIJt_xOg7odzpQRDqgZCOHarTY,12 PM–12 AM,12 PM–12 AM,12 PM–12 AM,12 PM–12 AM,12 PM–12 AM,12 PM–12 AM,12 PM–12 AM
Jerônimo Burger Track - Santos,ChIJYeouyUoDzpQRp3cPz8IFVRo,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM,11:30 AM–11 PM
Sanduicheria Petrópolis,ChIJX6IZMClCzpQRK_Xus5cK9hc,6–11:30 PM,Closed,6–11:30 PM,6–11:30 PM,6–11:30 PM,6 PM–12 AM,6 PM–12 AM
BUZINA BURGERS,ChIJ_4FPfaFXzpQRDUBHeWNZBNM,12–11 PM,5:30–11 PM,12–11 PM,12–11 PM,12–11 PM,12–11 PM,12–11 PM
