Estabelecimento_ID,inicio,fim,madrugada,manha,tarde,noite,inicio_periodo,fim_periodo
ChIJqXw5Nfr_zpQRhLF4T2JH01E,11:30,24:0,0,7,100,85,manha,noite
ChIJq6ontqBXzpQRnNcv1srOl_A,19:0,11:0,0,0,0,85,noite,manha
ChIJGw3R6HdazpQR2GBaZdGv7RQ,12:0,23:0,0,0,100,68,tarde,noite
ChIJmaIvAgNazpQR0z0yYoVBpaY,12:0,15:0,0,0,43,0,tarde,tarde
ChIJ526RwgZ9zpQReIWMZvz6coc,11:30,15:0,0,7,43,0,manha,tarde
ChIJyVVQiJRRzpQR_PHTpjV9R6M,9:0,23:0,0,49,100,68,manha,noite
ChIJVXWztQRDzpQRDJlrroOItZE,11:30,15:0,0,7,43,0,manha,tarde
ChIJ5-HZeYdBzpQRiZXbTSH7ul8,12:0,15:0,0,0,43,0,tarde,tarde
ChIJ9QOMgJ9azpQRe9MQcUXf0gM,7:0,21:0,0,83,100,34,manha,noite
ChIJCzHKyyxZzpQRDIEmXRewBGI,11:0,16:0,0,15,58,0,manha,tarde
ChIJE2-mDH8DzpQRKj9D3grPSEc,11:45,16:0,0,3,58,0,manha,tarde
ChIJQa7iAElYzpQRb5OWe0n_1VY,12:0,24:0,0,0,100,85,tarde,noite
ChIJeboeVl5DzpQR0dNQjRmAm-c,12:0,15:30,0,0,51,0,tarde,tarde
ChIJk6oq82ZYzpQRswoYjV1ytDU,12:0,14:0,0,0,29,0,tarde,tarde
ChIJ-YUOABh2zpQRNT9enWRaKbg,11:0,15:0,0,15,43,0,manha,tarde
ChIJ272BfFD1zpQR7fWMwtQnwfs,12:0,15:0,0,0,43,0,tarde,tarde
ChIJSReWN-BXzpQRnczEqxxpsFY,12:0,15:30,0,0,51,0,tarde,tarde
ChIJYdY4ZvTXzZQRWgM5jbD_bY8,7:0,15:0,0,83,43,0,manha,tarde
ChIJt4L_q_hYzpQRGCLEl3Q5f6U,11:0,15:0,0,15,43,0,manha,tarde
