Estabelecimento_ID,sunday,monday,tuesday,wednesday,thursday,friday,saturday,aberto_dia_util,aberto_final_de_semana
ChIJ5-HZeYdBzpQRiZXbTSH7ul8,1,0,1,1,1,1,1,75.0,100.0
ChIJ9QOMgJ9azpQRe9MQcUXf0gM,1,1,1,1,1,1,1,100.0,100.0
ChIJCzHKyyxZzpQRDIEmXRewBGI,1,1,1,1,1,1,1,100.0,100.0
ChIJE2-mDH8DzpQRKj9D3grPSEc,1,0,1,1,1,1,1,75.0,100.0
ChIJQa7iAElYzpQRb5OWe0n_1VY,1,0,1,1,1,1,1,75.0,100.0
ChIJeboeVl5DzpQR0dNQjRmAm-c,1,1,1,1,1,1,1,100.0,100.0
ChIJk6oq82ZYzpQRswoYjV1ytDU,1,1,1,1,1,1,1,100.0,100.0
ChIJ-YUOABh2zpQRNT9enWRaKbg,0,1,1,1,1,1,1,100.0,66.7
ChIJ272BfFD1zpQR7fWMwtQnwfs,1,1,1,1,1,1,1,100.0,100.0
ChIJSReWN-BXzpQRnczEqxxpsFY,1,1,1,1,1,1,1,100.0,100.0
ChIJYdY4ZvTXzZQRWgM5jbD_bY8,0,1,1,1,1,1,1,100.0,66.7
ChIJt4L_q_hYzpQRGCLEl3Q5f6U,0,1,1,1,1,1,1,100.0,66.7
ChIJw8A9BFFYzpQRyf3Mmt8uwq4,0,1,1,1,1,1,1,100.0,66.7
ChIJRx3ClMdWzpQRW8n_1_Lphm8,1,1,1,1,1,1,1,100.0,100.0
ChIJX5TN42hXzpQRBeNZ59YSKNE,1,0,1,1,1,1,1,75.0,100.0
ChIJPcPs0lQQyZQRf1Ql9KEBODE,1,1,1,1,1,1,1,100.0,100.0
ChIJMX0Nd4jfmwARmxVWsfSggPs,1,1,1,1,1,1,1,100.0,100.0
ChIJq6oGJ-H3zpQRezSvQ3j94Lw,1,1,1,1,1,1,1,100.0,100.0
ChIJjScwFkT1zpQR9IoSNwF5VTc,1,0,1,1,1,1,1,75.0,100.0
ChIJwel_9pxdzpQRmMcgiLb9tZk,1,1,1,1,1,1,1,100.0,100.0
ChIJlz-f8BpYzpQRRuDF8CBSnAE,1,1,1,1,1,1,1,100.0,100.0
ChIJa0t8x49XzpQRD14YlFxwq7g,1,1,1,1,1,1,1,100.0,100.0
ChIJu-gx2e9hmQARCfg2LKfBVmM,1,0,0,1,1,1,1,50.0,100.0
ChIJQaA7JiJazpQRJiXU_qDLdJ0,1,0,1,1,1,1,1,75.0,100.0
ChIJz36TCeJZzpQR4vkgCNah0Dw,1,1,1,1,1,1,1,100.0,100.0
ChIJF4g6k0xYzpQRt-eBJ-ets84,1,0,1,1,1,1,1,75.0,100.0
ChIJWZPI3VdXzpQR_CepIUcb0to,1,1,1,1,1,1,1,100.0,100.0
ChIJTygCU5_1zpQRJCxxsiXSTqM,1,1,1,1,1,1,1,100.0,100.0
ChIJpWMvtFbPyJQROBgvdL4VMaI,1,0,1,1,1,1,1,75.0,100.0
ChIJv5CU_kFXzpQRAD-4fc89qPA,1,1,1,1,1,1,1,100.0,100.0
ChIJq6r-cw8DzpQRAYqmeLgqpCI,1,0,1,1,1,1,1,75.0,100.0
ChIJn_vck47j3JQRAp0-oujzOFg,1,1,1,1,1,1,1,100.0,100.0
ChIJtzPt_47j3JQRAUmR8xhZOdA,1,1,1,1,1,1,1,100.0,100.0
ChIJ78fhdpCKzpQRRYzvCqiKt0g,1,1,1,1,1,1,1,100.0,100.0
ChIJbzGqHDFYzpQR2Kw1Tf1PtzM,1,1,1,1,1,1,1,100.0,100.0
ChIJP-UPbzRYzpQRdxqmmSZbSY4,1,0,1,1,1,1,1,75.0,100.0
ChIJb3DBGe9bzpQRIXK1vMiJCgY,1,0,1,1,1,1,1,75.0,100.0
ChIJJe5aAvhbzpQRG--n0g6O0hU,1,1,1,1,1,1,1,100.0,100.0
ChIJMSQ2sEFRzpQRTPlxQHw7bxQ,1,1,1,1,1,1,1,100.0,100.0
ChIJ6zbQyyoZ35QRsn9HXi1ix1w,0,0,1,1,1,1,1,75.0,66.7
ChIJH5Va0nlXzpQR2ObHRfI06xI,1,1,1,1,1,1,1,100.0,100.0
ChIJk53J9_PL2JQRORVNSJY8w8Q,0,1,1,1,1,0,1,100.0,33.3
ChIJuWw_My3PyJQRXiQjcjwoGx0,1,0,1,1,1,1,1,75.0,100.0
ChIJMeJf3xq9pgAR_XIq15X8UlI,1,0,1,1,1,1,1,75.0,100.0
ChIJ_Qdn5dZZzpQRWJ5lDWdVmSY,0,1,1,1,1,1,1,100.0,66.7
ChIJAVpUeQxZzpQR0ebg-yitws4,1,1,1,1,1,1,1,100.0,100.0
ChIJ5zcZVEdXzpQRQT0a7CLIh0U,1,1,1,1,1,1,1,100.0,100.0
ChIJtbAMutDQ7JQRAtEcqAMIU4I,0,1,1,1,1,1,0,100.0,33.3
ChIJ050Ozyjk3JQRuwiwNz-6s14,1,1,1,1,1,1,1,100.0,100.0
ChIJe3Hs4ATVmwARsLPcaC--ux8,1,1,1,1,1,1,1,100.0,100.0
ChIJL5q_pZdXzpQRTUa5vyc5d_Q,1,1,1,1,1,1,1,100.0,100.0
ChIJjZJPDlTVmwARJnson9A3CG4,1,1,1,1,1,1,1,100.0,100.0
ChIJ72rPsfx_mQARt0zL7AMz0OY,1,0,1,1,1,1,1,75.0,100.0
ChIJqfX1U9Qe35QRDvpdHhKVQPA,1,1,1,1,1,1,1,100.0,100.0
ChIJBx3XaxNXzpQRQnKb57xyDEY,1,0,1,1,1,1,1,75.0,100.0
ChIJl9cmu64dzpQRIYAxRQqauf0,1,1,1,1,1,1,1,100.0,100.0
ChIJe5d1ZMJZzpQRDBPnvPrY0DY,0,0,1,1,1,1,1,75.0,66.7
ChIJO_UYIddZzpQRQVkwf6sCJVc,1,1,1,1,1,1,1,100.0,100.0
ChIJaZP3ih8LpAARxu-bFgePUy0,1,1,1,1,1,1,1,100.0,100.0
ChIJ85TN9BFazpQRi_sXK84nr6k,1,1,1,1,1,1,1,100.0,100.0
ChIJ7TA96cJQzpQRgbxpzHnOl04,0,1,1,1,1,1,1,100.0,66.7
ChIJ719_w5zbmwAR_f3J1Srh1_s,1,1,1,1,1,1,1,100.0,100.0
ChIJmdCXtbK32JQRGeIHamnST7E,1,0,1,1,1,1,1,75.0,100.0
ChIJW_nBToynsJQRRJsKcph13is,0,1,1,1,1,1,1,100.0,66.7
ChIJ6VTodMNZzpQRPpJzkKiI9to,1,1,1,1,1,1,1,100.0,100.0
ChIJu0h_vBACzpQR5oPg1cBax4w,1,1,1,1,1,1,1,100.0,100.0
ChIJYekTs_dZzpQRQChNY4Exj1k,1,1,1,1,1,1,1,100.0,100.0
ChIJHdHkh_aDmQAR9WUEFFVvyBw,1,1,1,1,1,1,1,100.0,100.0
ChIJGzxR4g3_zpQRnVTIxRvYPkQ,0,1,1,1,1,1,1,100.0,66.7
ChIJKbHAmQbVmwARS6v8RFPerJs,1,1,1,1,1,1,1,100.0,100.0
ChIJf1Lls4cBz5QRb8Iocia7rbk,1,1,1,1,1,1,1,100.0,100.0
ChIJc_dvlTCB0pQRkenZ1t6DQN8,1,0,0,0,1,1,1,25.0,100.0
ChIJFQdL95NezpQRNVb51MFQ-ps,1,1,1,1,1,1,1,100.0,100.0
ChIJxSQwQF5XzpQRX2VbgRBA4GY,0,1,1,1,1,1,1,100.0,66.7
ChIJwRDt_XhMmAAR2Ov6CKnryTk,1,0,1,1,1,1,1,75.0,100.0
ChIJlxuwAramzZQRfyoTTUqUb5g,1,1,1,1,1,1,1,100.0,100.0
ChIJ_8iJ3-p_mQARj22svCC6BBU,1,1,1,1,1,1,1,100.0,100.0
ChIJKRUBl9ZZzpQRo4N6odTPPeM,1,1,1,1,1,1,1,100.0,100.0
ChIJXxfMXLPVmwARuO3YC_0Jd_A,1,1,1,1,1,1,1,100.0,100.0
ChIJ7-DihENXzpQRu2KD_QcYvpQ,0,1,1,1,1,1,0,100.0,33.3
ChIJ430S80ZZzpQR1UOJMRTY3EA,1,1,1,1,1,1,1,100.0,100.0
ChIJv5KmTezQ7JQRUC_dKNkZqkU,0,1,1,1,1,1,1,100.0,66.7
ChIJ5abFEAtVlgARu-AkAdXLV3A,1,1,1,1,1,1,1,100.0,100.0
ChIJlfjyU9v_0ZQRIuyWWkv4W1g,1,1,1,1,1,1,1,100.0,100.0
ChIJi_801TX2zpQRCFI2pF7_4IU,1,1,1,1,1,1,1,100.0,100.0
ChIJe3cY4M1ZzpQRAsQpeMVzkXk,1,0,1,1,1,1,1,75.0,100.0
ChIJ-7uLTERXzpQR8d3dw3KgHlU,1,1,1,1,1,1,1,100.0,100.0
ChIJj4FXBGFRzpQR7LXAktHyo8c,1,1,1,1,1,1,1,100.0,100.0
ChIJCaUFxsxZzpQRQO93YKHQBz0,1,0,1,1,1,1,1,75.0,100.0
ChIJKdgB3tJZzpQRPavAu0IR--E,1,1,1,1,1,1,1,100.0,100.0
ChIJe6t1Os1ZzpQRs-MxtQ5RziQ,1,1,1,1,1,1,1,100.0,100.0
ChIJAQO1AlFYzpQRNi25tKZj-As,0,1,1,1,1,0,1,100.0,33.3
